filename	mofkey
APAYUN_clean.cif	La.AKCOXFGRLZSRRR.MOFkey-v1.UNKNOWN
APAZAU_clean.cif	Eu.MQRRKKMHEJISCG.MOFkey-v1.UNKNOWN
APAZEY_clean.cif	Tb.MQRRKKMHEJISCG.MOFkey-v1.UNKNOWN
APAZIC_clean.cif	La.MQRRKKMHEJISCG.MOFkey-v1.UNKNOWN
APAZOI_clean.cif	La.LQEZHWGJSWHXPJ.MOFkey-v1.UNKNOWN
APEBED_clean.cif	Zn.YCGAZNXXGKTASZ.MOFkey-v1.UNKNOWN
APEBEE_clean.cif	Cd.AWZHSIJOWFAISU.OYFRNYNHAZOYNF.MOFkey-v1.UNKNOWN
APEBII_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
APEBOO_clean.cif	Zn.CXCHLLSLEKNNAP.RWLYCVZGOCWAFV.MOFkey-v1.nbo
APEBUU_clean.cif	Cd.AWZHSIJOWFAISU.QMKYBPDZANOJGF.MOFkey-v1.UNKNOWN
APETAS_clean.cif	Cd.AQUNNWMTMHAKOK.MOFkey-v1.UNKNOWN
APUPEH_clean.cif	Cu.UWUZIOBVAHFDAG.MOFkey-v1.nbo
AQAJEI_clean.cif	Zn.QCNDLFQKKMPZKH.MOFkey-v1.dia
AQALIO_clean.cif	SrEu.MUBZPKHOEPUJKR.MOFkey-v1.ERROR
AQALOU_clean.cif	SrGd.MUBZPKHOEPUJKR.MOFkey-v1.ERROR
AQEFOS_clean.cif	CuMo.KYQCOXFCLRTKLS.MOFkey-v1.ERROR
AQEFUY_clean.cif	Ag.KYQCOXFCLRTKLS.MOFkey-v1.ERROR
